Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;D'Amour Jean P.L.Q./Q.L.P.;Gagnon Louis Q.S.;Lagacé Michel P.Q.;Malenfant Frank P.S.P.;Massé Étienne O.N. - P.I.Q.;Roy Charles C.A.Q.-É.F.L.;B.V.;B.R.;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;1;Regr. BVO-137;138;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;1;;139;300;68;5;38;1;4;38;154;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;1;;140;308;63;14;33;1;0;20;131;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;1;;141;314;57;6;34;0;1;27;125;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;1;;142;309;103;5;34;0;1;41;184;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;2;;143;273;82;3;23;1;1;40;150;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;2;;144;287;70;3;25;2;2;19;121;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;2;;145;285;84;9;34;1;0;30;158;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;2;;146;309;57;2;56;1;0;25;141;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;2;;147;298;70;0;47;4;3;40;164;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Packington, p;1;;148;238;93;7;35;0;0;24;159;7;
