Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernard Jean-Yves Q.S.;Latrémouille Ian C.A.Q.-É.F.L.;Marois Pauline P.Q.;Mélançon Chantal É.A.P. - P.C.Q.;Simard Caroline P.L.Q./Q.L.P.;Thériault François O.N. - P.I.Q.;B.V.;B.R.;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;122;343;4;45;27;0;109;2;187;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;123;334;8;77;41;2;48;1;177;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;124;346;7;44;27;1;75;1;155;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;125;343;9;90;32;3;75;0;209;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;126;344;8;85;29;3;76;0;201;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;127;336;4;65;34;2;64;2;171;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;128;342;11;73;43;0;55;1;183;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;129;347;11;76;26;1;76;6;196;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;130;333;6;102;23;0;89;1;221;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;131;344;9;94;20;3;64;0;190;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;132;360;14;87;26;6;73;0;206;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;133;341;19;84;32;5;60;1;201;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Pierre-de-l'Île-d'Orléans, m;1;;134;363;11;78;36;3;47;2;177;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Pierre-de-l'Île-d'Orléans, m;1;;135;373;13;85;31;1;76;1;207;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Pierre-de-l'Île-d'Orléans, m;1;;136;381;12;90;36;2;74;0;214;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Pierre-de-l'Île-d'Orléans, m;1;;137;334;6;88;26;1;79;1;201;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Sainte-Famille, p;1;;138;343;12;80;27;4;109;3;235;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Sainte-Famille, p;1;;139;346;5;94;51;2;82;2;236;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-François-de-l'Île-d'Orléans, m;1;;140;207;7;43;27;1;56;2;136;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-François-de-l'Île-d'Orléans, m;1;;141;200;4;47;47;2;53;1;154;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Jean-de-l'Île-d'Orléans, m;1;;142;397;15;78;68;4;106;0;271;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Jean-de-l'Île-d'Orléans, m;1;;143;401;15;91;54;3;97;5;265;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Laurent-de-l'Île-d'Orléans, m;1;;144;318;16;68;35;5;98;2;224;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Laurent-de-l'Île-d'Orléans, m;1;;145;311;7;80;38;0;74;2;201;0;
