Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Bellefeuille Julie É.A.P. - P.C.Q.;de Repentigny Yves P.Éq.;Haliburton Victoria P.V.Q./G.P.Q.;Larocque Sylvain Ind;Leclair Guy P.Q.;Lemieux Lyse P.L.Q./Q.L.P.;Moreau Claude C.A.Q.-É.F.L.;Rousseau Florence O.N. - P.I.Q.;St-Onge Pierre-Paul Q.S.;B.V.;B.R.;
153;Beauharnois;2014-04-07;G;Beauharnois, v;1;;108;292;2;0;3;0;58;39;62;0;22;186;5;
153;Beauharnois;2014-04-07;G;Beauharnois, v;1;;109;324;2;0;3;0;66;55;50;1;10;187;0;
153;Beauharnois;2014-04-07;G;Beauharnois, v;1;;110;328;1;0;7;2;61;54;55;2;7;189;3;
153;Beauharnois;2014-04-07;G;Beauharnois, v;2;;111;284;1;1;2;1;53;25;35;1;4;123;4;
153;Beauharnois;2014-04-07;G;Beauharnois, v;2;;112;329;5;1;1;0;86;40;46;2;13;194;2;
153;Beauharnois;2014-04-07;G;Beauharnois, v;2;;113;301;1;0;2;1;69;24;53;0;18;168;4;
153;Beauharnois;2014-04-07;G;Beauharnois, v;2;;114;336;2;0;2;0;78;29;65;3;13;192;9;
153;Beauharnois;2014-04-07;G;Beauharnois, v;2;;115;373;3;0;2;0;57;28;48;1;10;149;5;
153;Beauharnois;2014-04-07;G;Beauharnois, v;2;;116;298;1;1;1;0;68;19;47;1;5;143;3;
153;Beauharnois;2014-04-07;G;Beauharnois, v;2;;117;323;3;0;2;0;78;34;59;3;7;186;4;
153;Beauharnois;2014-04-07;G;Beauharnois, v;2;;118;293;1;0;5;0;56;28;40;0;7;137;6;
153;Beauharnois;2014-04-07;G;Beauharnois, v;3;;119;325;0;0;0;1;70;31;42;0;10;154;0;
153;Beauharnois;2014-04-07;G;Beauharnois, v;3;;120;301;2;0;0;3;62;48;55;3;13;186;1;
153;Beauharnois;2014-04-07;G;Beauharnois, v;3;;121;279;2;1;3;1;61;25;47;0;6;146;3;
