Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Nadia Q.S.;Cadieux Denis M.P.Q.;de la Sablonnière Luc C.A.Q.-É.F.L.;Grégoire-Gauthier Annie O.N. - P.I.Q.;Leblanc Rodrigue Ind;Lessard Laurent P.L.Q./Q.L.P.;Mathieu Kaven P.Q.;Rancourt Sylvain É.A.P. - P.C.Q.;B.V.;B.R.;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;117;379;4;0;92;2;0;83;22;2;205;6;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;118;371;4;1;101;2;1;73;15;1;198;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;119;391;5;1;91;3;0;74;25;1;200;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;120;393;5;0;100;3;1;76;28;4;217;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;121;369;7;1;101;3;1;90;22;8;233;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;122;378;12;0;104;1;2;81;22;3;225;1;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Antoine-de-Tilly, m;1;;123;310;24;0;51;2;0;84;36;4;201;0;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Antoine-de-Tilly, m;1;;124;323;26;0;63;2;0;64;35;3;193;5;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Antoine-de-Tilly, m;1;;125;302;9;0;67;0;0;70;46;2;194;6;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Antoine-de-Tilly, m;1;;126;324;18;0;90;2;0;64;34;0;208;2;
289;Lotbinière-Frontenac;2014-04-07;G;Sainte-Croix, m;1;;127;419;10;0;66;3;1;75;28;2;185;1;
289;Lotbinière-Frontenac;2014-04-07;G;Sainte-Croix, m;1;;128;396;9;0;103;2;1;87;36;1;239;5;
289;Lotbinière-Frontenac;2014-04-07;G;Sainte-Croix, m;1;;129;373;12;0;62;1;0;65;36;2;178;5;
289;Lotbinière-Frontenac;2014-04-07;G;Sainte-Croix, m;1;;130;425;6;3;114;1;1;82;24;2;233;1;
289;Lotbinière-Frontenac;2014-04-07;G;Sainte-Croix, m;1;;131;389;5;0;70;0;0;91;42;1;209;2;
289;Lotbinière-Frontenac;2014-04-07;G;Lotbinière, m;1;;132;347;11;0;63;1;1;110;39;1;226;1;
289;Lotbinière-Frontenac;2014-04-07;G;Lotbinière, m;1;;133;346;14;0;75;2;0;112;44;0;247;1;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Édouard-de-Lotbinière, p;1;;134;344;10;0;96;3;2;106;16;4;237;6;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Édouard-de-Lotbinière, p;1;;135;318;7;1;57;1;0;98;17;1;182;6;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Édouard-de-Lotbinière, p;1;;136;301;2;0;59;0;0;105;14;4;184;2;
289;Lotbinière-Frontenac;2014-04-07;G;Notre-Dame-du-Sacré-Coeur-d'Issoudun, p;1;;137;317;5;0;75;0;0;107;19;1;207;1;
289;Lotbinière-Frontenac;2014-04-07;G;Notre-Dame-du-Sacré-Coeur-d'Issoudun, p;1;;138;312;13;0;64;1;2;108;17;1;206;7;
289;Lotbinière-Frontenac;2014-04-07;G;Laurier-Station, vl;1;;139;466;2;2;125;1;1;110;22;2;265;3;
289;Lotbinière-Frontenac;2014-04-07;G;Laurier-Station, vl;1;;140;404;14;1;79;1;0;143;17;1;256;1;
289;Lotbinière-Frontenac;2014-04-07;G;Laurier-Station, vl;1;;141;401;7;2;89;2;0;142;22;1;265;8;
289;Lotbinière-Frontenac;2014-04-07;G;Laurier-Station, vl;1;;142;390;4;0;71;0;0;117;27;3;222;2;
289;Lotbinière-Frontenac;2014-04-07;G;Laurier-Station, vl;1;;143;397;2;1;99;3;2;119;17;4;247;5;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Janvier-de-Joly, m;1;;144;399;9;1;95;2;2;104;20;3;236;5;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Janvier-de-Joly, m;1;;145;399;9;0;86;3;5;133;26;3;265;1;
289;Lotbinière-Frontenac;2014-04-07;G;Val-Alain, m;1;;146;372;5;2;99;0;2;93;45;1;247;6;
