Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Olivier Q.S.;Cloutier Benoit É.A.P. - P.C.Q.;Gagné Dave P.S.P.;Lévesque-Morin Alexis O.N. - P.I.Q.;Paré Catherine P.Q.;Picard Marc C.A.Q.-É.F.L.;Vaillancourt Ghyslain P.L.Q./Q.L.P.;B.V.;B.R.;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;133;311;7;2;1;0;7;104;48;169;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;134;316;5;3;0;0;12;122;48;190;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;135A;231;4;1;1;1;8;95;32;142;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;135B;232;3;3;1;1;10;93;41;152;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;136;312;5;1;0;0;10;96;52;164;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;137;290;8;1;4;0;17;104;25;159;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;138;314;4;0;0;0;17;75;28;124;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;139;308;4;1;1;0;10;94;32;142;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;140;370;8;3;2;0;24;123;59;219;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;141;362;4;2;1;0;18;106;59;190;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;142;299;7;1;0;1;20;97;33;159;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;14;;143;350;7;0;2;0;18;112;63;202;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;14;;144;371;2;13;2;0;15;126;53;211;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;14;;145;344;5;1;1;0;19;115;56;197;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;14;;146;327;10;0;0;2;18;96;45;171;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;14;;147;329;10;2;2;4;15;112;48;193;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;14;;148;316;7;6;4;2;30;94;31;174;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;14;;149;328;9;0;2;0;28;107;40;186;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;14;;150;341;11;0;0;1;25;111;47;195;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;14;;151;345;1;1;0;0;13;118;54;187;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;15;;152;321;3;1;1;1;6;124;49;185;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;15;;153;296;7;3;1;0;33;89;37;170;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;15;;154;326;8;2;3;0;17;106;65;201;3;
